column,neotoma,required,notes,rowwise,type,FormatOrRange,vocab,constant,taxonname,taxonid,unitcolumn,Uncertaintycolumn,Uncertaintyunitcolumn,UncertaintyBasis
site_id,ndb.sites.sitedescription,,"Neotoma site gets its own ID, note should be “SISAL site_id: {site_id}”",,,,,,,,,,,
site_name,ndb.sites.sitename,,,,,,,,,,,,,
latitude,ndb.sites.geog,,,,,,,,,,,,,
longitude,ndb.sites.geog,,,,,,,,,,,,,
elevation,ndb.sites.altitude,,,,,,,,,,,,,
monitoring,ndb.speleothems.monitoring,,convert from y/n,,boolean,,,,,,,,,
notes,,,,,,,,,,,,,,
entity_id,ndb.speleothems.entityid,,,,,,,,,,,,,
entity_name,ndb.speleothem.entityname,,,,,,,,,,,,,
entity_status,ndb.speleothem.entitystatusid,,,,,,,,,,,,,
corresponding_current,,,IGNORING,,,,,,,,,,,
persist_id,ndb.speleothems.persistid,,,,,,,,,,,,,
depth_ref,ndb.speleothems.depthreferencesystemid,,,,,,,,,,,,,
geology,ndb.speleothems.speleothemgeologyid,,,,,,,,,,,,,
rock_age,ndb.speleothem.relativeageid,,,,,,,,,,,,,
wokam,,,IGNORING,,,,,,,,,,,
vegetation_type,ndb.entityvegetationcover.vegetationcovertypeid,,,,,,,,,,,,,
land_use,ndb.entitylandusecover.landusecovertypeid,,,,,,,,,,,,,
copernicus_lcc,,,,,,,,,,,,,,
cover_type,ndb.entitycovers.entitycoverid,,,,,,,,,,,,,
cover_thickness,ndb.entitycovers.entitycoverthickness,,,,,,,,,,Find units. (m)?,,,
host_rock_trace_elements,ndb.externalspeleothemdata,,If yes we need to track it down and add it?,,,,,,,,,,,
drip_water_trace_elements,ndb.externalspeleothemdata,,If yes we need to track it down and add it?,,,,,,,,,,,
distance_entrance,,,,,,,,,,,,,,
speleothem_type,ndb.speleothem.speleothemtypeid,,,,,,,,,,,,,
drip_type,ndb.entitydripheight.entitydriptypeid,,,,,,,,,,,,,
drip_height,ndb.entitydripheight.entitydripheight,,CHECK UNITS and assign to entitydripheightunit,,,,,,,,Find units. (m)?,,,
d13C,ndb.externalspeleothemdata,,,,,,,,,,,,,
d18O,ndb.externalspeleothemdata,,,,,,,,,,,,,
iso_std,,,,,,,,,,,,,,
d18O_water_equilibrium,,,,,,,,,,,,,,
d18O_dripwater_carbonate_difference,,,,,,,,,,,,,,
organics,,,,,,,,,,,,,,
fluid_inclusions,,,,,,,,,,,,,,
mineralogy_petrology_fabric,,,,,,,,,,,,,,
clumped_isotopes,,,,,,,,,,,,,,
noble_gas_temperatures,,,,,,,,,,,,,,
C14,,,,,,,,,,,,,,
ODL,,,,,,,,,,,,,,
Sr_Ca,,,,,,,,,,,,,,
Sr_Ca_method,,,,,,,,,,,,,,
Sr_Ca_std,,,,,,,,,,,,,,
Sr_Ca_downsampled,,,,,,,,,,,,,,
Sr_Ca_downsampling_method,,,,,,,,,,,,,,
Mg_Ca,,,,,,,,,,,,,,
Mg_Ca_method,,,,,,,,,,,,,,
Mg_Ca_std,,,,,,,,,,,,,,
Mg_Ca_downsampled,,,,,,,,,,,,,,
Mg_Ca_downsampling_method,,,,,,,,,,,,,,
Ba_Ca,,,,,,,,,,,,,,
Ba_Ca_method,,,,,,,,,,,,,,
Ba_Ca_std,,,,,,,,,,,,,,
Ba_Ca_downsampled,,,,,,,,,,,,,,
Ba_Ca_downsampling_method,,,,,,,,,,,,,,
U_Ca,,,,,,,,,,,,,,
U_Ca_method,,,,,,,,,,,,,,
U_Ca_std,,,,,,,,,,,,,,
U_Ca_downsampled,,,,,,,,,,,,,,
U_Ca_downsampling_method,,,,,,,,,,,,,,
P_Ca,,,,,,,,,,,,,,
P_Ca_method,,,,,,,,,,,,,,
P_Ca_std,,,,,,,,,,,,,,
P_Ca_downsampled,,,,,,,,,,,,,,
P_Ca_downsampling_method,,,,,,,,,,,,,,
Sr_isotopes,,,,,,,,,,,,,,
Sr_isotopes_method,,,,,,,,,,,,,,
Sr_isotopes_std,,,,,,,,,,,,,,
trace_elements_datafile,,,,,,,,,,,,,,
trace_elements_metadatafile,,,,,,,,,,,,,,
cave_map,,,,,,,,,,,,,,
entity_scan,,,,,,,,,,,,,,
contact,,,,,,,,,,,,,,
data_DOI_URL,,,,,,,,,,,,,,
ref_id,,,,,,,,,,,,,,
citation,,,,,,,,,,,,,,
publication_DOI,,,,,,,,,,,,,,
depth,,,,,,,,,,,,,,
dating_id,,,,,,,,,,,,,,
date_type,,,,,,,,,,,,,,
depth_dating,,,,,,,,,,,,,,
dating_thickness,,,,,,,,,,,,,,
lab_num,,,,,,,,,,,,,,
material_dated,,,,,,,,,,,,,,
min_weight,,,,,,,,,,,,,,
max_weight,,,,,,,,,,,,,,
uncorr_age,,,,,,,,,,,,,,
uncorr_age_uncert_pos,,,,,,,,,,,,,,
uncorr_age_uncert_neg,,,,,,,,,,,,,,
14C_correction,,,,,,,,,,,,,,
calib_used,,,,,,,,,,,,,,
date_used,,,,,,,,,,,,,,
238U_content,,,,,,,,,,,,,,
238U_uncertainty,,,,,,,,,,,,,,
232Th_content,,,,,,,,,,,,,,
232Th_uncertainty,,,,,,,,,,,,,,
230Th_content,,,,,,,,,,,,,,
230Th_uncertainty,,,,,,,,,,,,,,
230Th_232Th_ratio,,,,,,,,,,,,,,
230Th_232Th_ratio_uncertainty,,,,,,,,,,,,,,
230Th_238U_activity,,,,,,,,,,,,,,
230Th_238U_activity_uncertainty,,,,,,,,,,,,,,
234U_238U_activity,,,,,,,,,,,,,,
234U_238U_activity_uncertainty,,,,,,,,,,,,,,
ini_230Th_232Th_ratio,,,,,,,,,,,,,,
ini_230Th_232Th_ratio_uncertainty,,,,,,,,,,,,,,
decay_constant,,,,,,,,,,,,,,
corr_age,,,,,,,,,,,,,,
corr_age_uncert_pos,,,,,,,,,,,,,,
corr_age_uncert_neg,,,,,,,,,,,,,,
date_used_lin_interp,,,,,,,,,,,,,,
date_used_lin_reg,,,,,,,,,,,,,,
date_used_Bchron,,,,,,,,,,,,,,
date_used_Bacon,,,,,,,,,,,,,,
