Schema,Table,Column,Notes,Neotoma,Required,Notes,Rowwise,Type,FormatOrRange,Vocab,Constant,Taxonname,Taxonid,UnitColumn,Uncertaintycolumn,Uncertaintyunitcolumn,UncertaintyBasis
sisal,Site,site_id,database level,ndb.sites.sitedescription,,The idea here is cross-referencing the SISAL database siteid link.,FALSE,integer,,,,,,,,,
sisal,Site,site_name,name by author,ndb.sites.sitename,,,FALSE,string,,,,,,,,,
sisal,Site,latitude,number,ndb.sites.geog,,Link as a spatial object.,FALSE,"coordinates (lat, long)",,,,,,,,,
sisal,Site,longitude,number,ndb.sites.geog,,Link as a spatial object.,FALSE,"coordinates (lat, long)",,,,,,,,,
sisal,Site,elevation,number,ndb.sites.altitude,,,FALSE,float,,,,,,,,,
sisal,Site,monitoring,yes or no question,ndb.speleothem.monitoring,"[""yes"",""no""]",,,,,,,,,,,,
sisal,Entity,site_id,database level,ndb.speleothem.siteid,,This would be the Neotoma SiteID to link (as opposed to the SISAL siteid),,integer,,,,,,,,,
sisal,Entity,entity_id,database level,ndb.speleothem.entityid,,Referencing the speleothem entity (not the core itself),,integer,,,,,,,,,
sisal,Entity,persist_id,database level,ndb.speleothem.persistid,,"Not needed (I don't think), but we can link to it",,integer,,,,,,,,,
sisal,Entity,entity_name,name by author,ndb.speleothem.entityname,,,,string,,,,,,,,,
sisal,Entity,entity_status,dropdown list options asking if the entity has been superceded by a newer dataset e.g. with higher resolution and more accurate chronology that SHOULD be used instead,ndb.speleothem.entitystatusid,"[""completely supersedes"",
""completely superseded by"",
""partially supersedes"",
""partially superseded by"",
""not applicable""]",The statusids would be in a separate table to enforce consistency,,,,,,,,,,,
---,---,---,,ndb.speleothem.geography,,three dimensional spatial object,,,,,,,,,,,
sisal,Entity,corresponding_current,entity_name in the database that SHOULD be used instead,-,,IGNORE -- Based on Notes,,,,,,,,,,,
sisal,Entity,depth_ref,depth measured from the top or the bottom of the core; dropdown list option,ndb.speleothem.depthreference,"[""from top"",
""from base"",
""not applicable""]",The speleothem is sectioned in cross section and sampled in the axis of drip,,,,,,,,,,,
sisal,Entity,geology,the actual geology (rock-type) from a dropdown list,ndb.speleothem.geology,"[""limestone"",
""dolomite"",
""marble"",
""dolomitic limestone"",
""marly limestone"",
""calcarenite"",
""gypsum"",
""mixed (add note to notes sheet)"",
""other (add note to notes sheet)"",
""unknown""]",Speleothems may have different geologies within a single site depending on their position,,,,,,,,,,,
sisal,Entity,rock_age,the actual rock age (geological age) from a dropdown list,ndb.speleothem.relativeageid,"[""Holocene"",
""Pleistocene"",
""Pliocene"",
""Miocene"",
""Oligocene"",
""Eocene"",
""Palaeocene"",
""Cretaceous"",
""Jurassic"",
""Triassic"",
""Permian"",
""Carboniferous"",
""Devonian"",
""Silurian"",
""Ordovician"",
""Cambrian"",
""Precambrian"",
""mixed (add note to notes sheet)"",
""other (add note to notes sheet)"",
""unknown""]",This table exists within  ndb.relativeages,,,,,,,,,,,
sisal,Entity,wokam (*),externally sourced dataset from the world karst aquifer mapping project (WOKAM) filled at database level from WOKAM shapefiles,--,,External data layer,,,,,,,,,,,
sisal,Entity,vegetation_type (*),actual vegetation type filled from dropddown list options by authors or from publications ,ndb.speleothem.vegetation,"[""evergreen"",
""deciduous"",
""shrubland"",
""grassland"",
""sparse"",
""barren"",
""mixed (add note to notes sheet)"",
""other (add note to notes sheet)"",
""unknown""]","As above, a long cave may cross multiple vegetation types.",,,,,,,,,,,
